id,dates,hour,psi
345,2017-12-15,9,8
346,2017-12-15,10,10
347,2017-12-15,11,12
348,2017-12-15,12,16
349,2017-12-15,13,20
350,2017-12-15,14,25
351,2017-12-15,15,28
352,2017-12-15,16,31
353,2017-12-15,17,31
354,2017-12-15,18,31
355,2017-12-15,19,29
356,2017-12-15,20,25
357,2017-12-15,21,20
358,2017-12-15,22,15
359,2017-12-15,23,10
360,2017-12-16,0,7
361,2017-12-16,1,6
362,2017-12-16,2,5
363,2017-12-16,3,4
364,2017-12-16,4,5
365,2017-12-16,5,5
366,2017-12-16,6,6
367,2017-12-16,7,6
368,2017-12-16,8,6
369,2017-12-16,9,7
370,2017-12-16,10,8
371,2017-12-16,11,10
372,2017-12-16,12,12
373,2017-12-16,13,14
374,2017-12-16,14,16
375,2017-12-16,15,19
376,2017-12-16,16,22
377,2017-12-16,17,23
378,2017-12-16,18,21
379,2017-12-16,19,20
380,2017-12-16,20,18
381,2017-12-16,21,16
382,2017-12-16,22,13
383,2017-12-16,23,11
384,2017-12-17,0,8
385,2017-12-17,1,7
386,2017-12-17,2,8
387,2017-12-17,3,8
388,2017-12-17,4,8
389,2017-12-17,5,9
390,2017-12-17,6,11
391,2017-12-17,7,12
392,2017-12-17,8,12
393,2017-12-17,9,13
394,2017-12-17,10,14
395,2017-12-17,11,16
396,2017-12-17,12,18
397,2017-12-17,13,20
398,2017-12-17,14,21
399,2017-12-17,15,23
400,2017-12-17,16,25
401,2017-12-17,17,27
402,2017-12-17,18,28
403,2017-12-17,19,28
404,2017-12-17,20,27
405,2017-12-17,21,26
406,2017-12-17,22,25
407,2017-12-17,23,24
408,2017-12-18,0,23
409,2017-12-18,1,22
410,2017-12-18,2,21
411,2017-12-18,3,21
412,2017-12-18,4,21
413,2017-12-18,5,22
414,2017-12-18,6,22
415,2017-12-18,7,22
416,2017-12-18,8,22
417,2017-12-18,9,21
418,2017-12-18,10,21
419,2017-12-18,11,21
420,2017-12-18,12,22
421,2017-12-18,13,23
422,2017-12-18,14,24
423,2017-12-18,15,25
424,2017-12-18,16,27
425,2017-12-18,17,28
426,2017-12-18,18,29
427,2017-12-18,19,29
428,2017-12-18,20,28
429,2017-12-18,21,27
430,2017-12-18,22,26
431,2017-12-18,23,24
432,2017-12-19,0,23
433,2017-12-19,1,23
434,2017-12-19,2,24
435,2017-12-19,3,24
436,2017-12-19,4,24
437,2017-12-19,5,25
438,2017-12-19,6,26
439,2017-12-19,7,27
440,2017-12-19,8,28
441,2017-12-19,9,28
442,2017-12-19,10,27
443,2017-12-19,11,27
444,2017-12-19,12,27
445,2017-12-19,13,28
446,2017-12-19,14,28
447,2017-12-19,15,27
448,2017-12-19,16,26
449,2017-12-19,17,25
450,2017-12-19,18,24
451,2017-12-19,19,23
452,2017-12-19,20,21
453,2017-12-19,21,18
454,2017-12-19,22,15
455,2017-12-19,23,15
456,2017-12-20,0,15
457,2017-12-20,1,15
458,2017-12-20,2,16
459,2017-12-20,3,16
460,2017-12-20,4,16
461,2017-12-20,5,17
462,2017-12-20,6,19
463,2017-12-20,7,20
464,2017-12-20,8,19
465,2017-12-20,9,19
466,2017-12-20,10,20
467,2017-12-20,11,21
468,2017-12-20,12,24
469,2017-12-20,13,26
470,2017-12-20,14,28
471,2017-12-20,15,29
472,2017-12-20,16,31
473,2017-12-20,17,32
474,2017-12-20,18,32
475,2017-12-20,19,32
476,2017-12-20,20,30
477,2017-12-20,21,27
478,2017-12-20,22,25
479,2017-12-20,23,23
480,2017-12-21,0,20
481,2017-12-21,1,20
482,2017-12-21,2,21
483,2017-12-21,3,23
484,2017-12-21,4,25
485,2017-12-21,5,27
486,2017-12-21,6,29
487,2017-12-21,7,31
488,2017-12-21,8,34
489,2017-12-21,9,34
490,2017-12-21,10,34
491,2017-12-21,11,34
492,2017-12-21,12,33
493,2017-12-21,13,34
494,2017-12-21,14,35
495,2017-12-21,15,36
496,2017-12-21,16,37
497,2017-12-21,17,37
498,2017-12-21,18,37
499,2017-12-21,19,37
500,2017-12-21,20,35
501,2017-12-21,21,33
502,2017-12-21,22,31
503,2017-12-21,23,30
504,2017-12-22,0,30
505,2017-12-22,1,29
506,2017-12-22,2,29
507,2017-12-22,3,29
508,2017-12-22,4,29
509,2017-12-22,5,29
510,2017-12-22,6,28
511,2017-12-22,7,26
512,2017-12-22,8,23
513,2017-12-22,9,21
514,2017-12-22,10,20
515,2017-12-22,11,19
